id,base_model
TheBloke/Yi-6B-200K-GPTQ,01-ai/Yi-6B-200K
TheBloke/Yi-6B-200K-GGUF,01-ai/Yi-6B-200K
MaziyarPanahi/Yi-6B-200K-GGUF,01-ai/Yi-6B-200K
RichardErkhov/01-ai_-_Yi-6B-200K-gguf,01-ai/Yi-6B-200K/
RichardErkhov/01-ai_-_Yi-6B-200K-8bits,01-ai/Yi-6B-200K/
RichardErkhov/01-ai_-_Yi-6B-200K-4bits,01-ai/Yi-6B-200K/
RichardErkhov/01-ai_-_Yi-6B-Chat-gguf,01-ai/Yi-6B-Chat/
RichardErkhov/01-ai_-_Yi-6B-Chat-4bits,01-ai/Yi-6B-Chat/
RichardErkhov/01-ai_-_Yi-6B-Chat-8bits,01-ai/Yi-6B-Chat/
RichardErkhov/01-ai_-_Yi-6B-gguf,01-ai/Yi-6B/
RichardErkhov/01-ai_-_Yi-6B-8bits,01-ai/Yi-6B/
RichardErkhov/01-ai_-_Yi-6B-4bits,01-ai/Yi-6B/
MaziyarPanahi/Yi-9B-GGUF,01-ai/Yi-9B
cgus/Yi-9B-exl2,01-ai/Yi-9B
bartowski/Yi-9B-200K-GGUF,01-ai/Yi-9B-200K
bartowski/Yi-9B-200K-exl2,01-ai/Yi-9B-200K
MaziyarPanahi/Yi-9B-200K-GGUF,01-ai/Yi-9B-200K
RichardErkhov/01-ai_-_Yi-9B-200K-gguf,01-ai/Yi-9B-200K/
RichardErkhov/01-ai_-_Yi-9B-200K-4bits,01-ai/Yi-9B-200K/
bartowski/Yi-Coder-1.5B-GGUF,01-ai/Yi-Coder-1.5B
legraphista/Yi-Coder-1.5B-IMat-GGUF,01-ai/Yi-Coder-1.5B
bartowski/Yi-Coder-1.5B-Chat-GGUF,01-ai/Yi-Coder-1.5B-Chat
MaziyarPanahi/Yi-Coder-1.5B-Chat-GGUF,01-ai/Yi-Coder-1.5B-Chat
cgus/Yi-Coder-1.5B-Chat-exl2,01-ai/Yi-Coder-1.5B-Chat
legraphista/Yi-Coder-1.5B-Chat-IMat-GGUF,01-ai/Yi-Coder-1.5B-Chat
RichardErkhov/01-ai_-_Yi-Coder-1.5B-Chat-gguf,01-ai/Yi-Coder-1.5B-Chat/
RichardErkhov/01-ai_-_Yi-Coder-1.5B-Chat-awq,01-ai/Yi-Coder-1.5B-Chat/
legraphista/Yi-Coder-9B-IMat-GGUF,01-ai/Yi-Coder-9B
bartowski/Yi-Coder-9B-Chat-GGUF,01-ai/Yi-Coder-9B-Chat
haijian06/Yi-Coder-9B-Chat-GGUF,01-ai/Yi-Coder-9B-Chat
MaziyarPanahi/Yi-Coder-9B-Chat-GGUF,01-ai/Yi-Coder-9B-Chat
CISCai/Yi-Coder-9B-Chat-SOTA-GGUF,01-ai/Yi-Coder-9B-Chat
legraphista/Yi-Coder-9B-Chat-IMat-GGUF,01-ai/Yi-Coder-9B-Chat
RichardErkhov/01-ai_-_Yi-Coder-9B-Chat-gguf,01-ai/Yi-Coder-9B-Chat/
RichardErkhov/01-ai_-_Yi-Coder-9B-gguf,01-ai/Yi-Coder-9B/
RichardErkhov/01GangaPutraBheeshma_-_colab_text_generation_FT_opt_on_dolly_UT_V2-awq,01GangaPutraBheeshma/colab_text_generation_FT_opt_on_dolly_UT_V2/
RichardErkhov/01jonathanf_-_Mistral-7B-Instruct-v0.2-sharded2GB-gguf,01jonathanf/Mistral-7B-Instruct-v0.2-sharded2GB/
RichardErkhov/07jahnavi_-_tinyllama-storygeneration-v1-gguf,07jahnavi/tinyllama-storygeneration-v1/
RichardErkhov/0Tick_-_danbooruTagAutocomplete-gguf,0Tick/danbooruTagAutocomplete/
RichardErkhov/0x0daughter1_-_testm2-awq,0x0daughter1/testm2/
RichardErkhov/0x0mom_-_s_10-awq,0x0mom/s_10/
RichardErkhov/0x0mom_-_sl1-awq,0x0mom/sl1/
RichardErkhov/0x0xx_-_PeterPan-gguf,0x0xx/PeterPan/
RichardErkhov/0x404_-_ccs-code-llama-7b-gguf,0x404/ccs-code-llama-7b/
Sosnitskij/fialka-13B-v4-gguf,0x7194633/fialka-13B-v4
MaziyarPanahi/poemma-12B-GGUF,0x7o/poemma-12B
RichardErkhov/0xayman_-_Qwen2.5-0.5B-fc-json-v4-awq,0xayman/Qwen2.5-0.5B-fc-json-v4/
RichardErkhov/0xayman_-_Qwen2.5-0.5B-fc-v1-json-awq,0xayman/Qwen2.5-0.5B-fc-v1-json/
RichardErkhov/0xayman_-_Qwen2.5-0.5B-fc-v2-json-awq,0xayman/Qwen2.5-0.5B-fc-v2-json/
RichardErkhov/1-800-SHARED-TASKS_-_GEMMA2-27B-NLI-16bit-gguf,1-800-SHARED-TASKS/GEMMA2-27B-NLI-16bit/
RichardErkhov/1-800-SHARED-TASKS_-_PHI3-Medium-NLI-16bit-gguf,1-800-SHARED-TASKS/PHI3-Medium-NLI-16bit/
RichardErkhov/1024m_-_gemma-2-2b-it-Base-gguf,1024m/gemma-2-2b-it-Base/
RichardErkhov/1024m_-_GEMMA2-27B-NLI-16bit-gguf,1024m/GEMMA2-27B-NLI-16bit/
RichardErkhov/1024m_-_Llama-3.2-3B-Base-gguf,1024m/Llama-3.2-3B-Base/
RichardErkhov/1024m_-_Llama-3.2-3B-Instruct-Base-gguf,1024m/Llama-3.2-3B-Instruct-Base/
RichardErkhov/1024m_-_OLMoE-1B-7B-0924-Base-gguf,1024m/OLMoE-1B-7B-0924-Base/
RichardErkhov/1024m_-_OLMoE-1B-7B-0924-Instruct-Base-gguf,1024m/OLMoE-1B-7B-0924-Instruct-Base/
RichardErkhov/1231czx_-_2b_dpo_iter1_1250step-awq,1231czx/2b_dpo_iter1_1250step/
RichardErkhov/1231czx_-_2b_dpo_iter1_250step-awq,1231czx/2b_dpo_iter1_250step/
RichardErkhov/1231czx_-_2b_sft1-awq,1231czx/2b_sft1/
RichardErkhov/1231czx_-_2b_sft2-awq,1231czx/2b_sft2/
RichardErkhov/1231czx_-_kto_mask_7b_gemma_iter1_step200-gguf,1231czx/kto_mask_7b_gemma_iter1_step200/
RichardErkhov/12thD_-_I-SOLAR-10.7B-dpo-sft-v0.1-gguf,12thD/I-SOLAR-10.7B-dpo-sft-v0.1/
RichardErkhov/12thD_-_ko-Llama-3-8B-sft-v0.1-gguf,12thD/ko-Llama-3-8B-sft-v0.1/
RichardErkhov/12thD_-_ko-Llama-3-8B-sft-v0.3-gguf,12thD/ko-Llama-3-8B-sft-v0.3/
KnutJaegersberg/2-bit-LLMs,152334H/miqu-1-70b-sf
RichardErkhov/1bitLLM_-_bitnet_b1_58-3B-gguf,1bitLLM/bitnet_b1_58-3B/
RichardErkhov/1bitLLM_-_bitnet_b1_58-large-gguf,1bitLLM/bitnet_b1_58-large/
RichardErkhov/1bitLLM_-_bitnet_b1_58-xl-gguf,1bitLLM/bitnet_b1_58-xl/
RichardErkhov/1TuanPham_-_InstructEnVi_llama2-bkai-120GB_250kx2e_Frankenx3-gguf,1TuanPham/InstructEnVi_llama2-bkai-120GB_250kx2e_Frankenx3/
RichardErkhov/1TuanPham_-_T-VisStar-7B-v0.1-gguf,1TuanPham/T-VisStar-7B-v0.1/
RichardErkhov/2121-8_-_TinySlime-1.1B-Chat-v1.0-gguf,2121-8/TinySlime-1.1B-Chat-v1.0/
RichardErkhov/2121-8_-_TinySlime-1.1B-v1.0-awq,2121-8/TinySlime-1.1B-v1.0/
RichardErkhov/2121-8_-_TinySlime-1.1B-v1.0-gguf,2121-8/TinySlime-1.1B-v1.0/
RichardErkhov/2A2I-R_-_L1000MT-gguf,2A2I-R/L1000MT/
RichardErkhov/2A2I-R_-_L200MT-gguf,2A2I-R/L200MT/
RichardErkhov/2A2I-R_-_L500MT-gguf,2A2I-R/L500MT/
RichardErkhov/2ndBestKiller_-_CaTinyLlama_M1_CA_TinyLlaama_M1-awq,2ndBestKiller/CaTinyLlama_M1_CA_TinyLlaama_M1/
RichardErkhov/316usman_-_quyen-awq,316usman/quyen/
RichardErkhov/4-alokk_-_llama-3-8b-English-to-Hinglish-gguf,4-alokk/llama-3-8b-English-to-Hinglish/
RichardErkhov/404NotF0und_-_lunar-llm-tiny-llama-3epoch-gguf,404NotF0und/lunar-llm-tiny-llama-3epoch/
heegyu/42dot_LLM-PLM-1.3B-mt,42dot/42dot_LLM-PLM-1.3B
rozek/42dot_LLM-SFT-1.3B_GGUF,42dot/42dot_LLM-SFT-1.3B
RichardErkhov/42dot_-_42dot_LLM-SFT-1.3B-8bits,42dot/42dot_LLM-SFT-1.3B/
RichardErkhov/42dot_-_42dot_LLM-SFT-1.3B-4bits,42dot/42dot_LLM-SFT-1.3B/
RichardErkhov/4bit_-_gemma-2b-awq,4bit/gemma-2b/
RichardErkhov/4bit_-_gemma-2b-8bits,4bit/gemma-2b/
RichardErkhov/4bit_-_gemma-2b-4bits,4bit/gemma-2b/
RichardErkhov/4bit_-_gemma-2b-gguf,4bit/gemma-2b/
RichardErkhov/4bit_-_Llama-2-7b-chat-hf-gguf,4bit/Llama-2-7b-chat-hf/
RichardErkhov/4bit_-_Mistral-7B-v0.2-hf-gguf,4bit/Mistral-7B-v0.2-hf/
RichardErkhov/4bit_-_pyg-7b-gguf,4bit/pyg-7b/
RichardErkhov/4bit_-_Qwen2-VL-2B-Instruct-awq,4bit/Qwen2-VL-2B-Instruct/
RichardErkhov/4i-ai_-_Llama-2-13b-alpaca-es-gguf,4i-ai/Llama-2-13b-alpaca-es/
RichardErkhov/4i-ai_-_Llama-2-7b-alpaca-es-gguf,4i-ai/Llama-2-7b-alpaca-es/
RichardErkhov/4n3mone_-_KoSOLAR_merge_test_v0.1-gguf,4n3mone/KoSOLAR_merge_test_v0.1/
RichardErkhov/4yo1_-_llama_1-gguf,4yo1/llama_1/
RichardErkhov/4yo1_-_llama3-eng-ko-8-llama-gguf,4yo1/llama3-eng-ko-8-llama/
RichardErkhov/4yo1_-_llama3-eng-ko-8b-sl-gguf,4yo1/llama3-eng-ko-8b-sl/
RichardErkhov/4yo1_-_llama3-eng-ko-8b-sl2-gguf,4yo1/llama3-eng-ko-8b-sl2/
RichardErkhov/4yo1_-_llama3-eng-ko-8b-sl3-gguf,4yo1/llama3-eng-ko-8b-sl3/
RichardErkhov/4yo1_-_llama3-eng-ko-8b-sl4-gguf,4yo1/llama3-eng-ko-8b-sl4/
RichardErkhov/4yo1_-_llama3-pre1-ds-lora3-gguf,4yo1/llama3-pre1-ds-lora3/
RichardErkhov/4yo1_-_llama3-pre1-pre2-ds-ins2-lora3-gguf,4yo1/llama3-pre1-pre2-ds-ins2-lora3/
RichardErkhov/4yo1_-_llama3-pre1-pre2-ds-lora3-mergkit-base-gguf,4yo1/llama3-pre1-pre2-ds-lora3-mergkit-base/
RichardErkhov/4yo1_-_llama3-pre1-pre2-ds-lora3-gguf,4yo1/llama3-pre1-pre2-ds-lora3/
RichardErkhov/4yo1_-_llama3-pre1-pre2-ins1-lora3-gguf,4yo1/llama3-pre1-pre2-ins1-lora3/
RichardErkhov/4yo1_-_llama3-pre1-pre2-inst3-ds-lora3_1-gguf,4yo1/llama3-pre1-pre2-inst3-ds-lora3_1/
RichardErkhov/4yo1_-_llama3-pre1-pre2-inst3-ds-lora3-gguf,4yo1/llama3-pre1-pre2-inst3-ds-lora3/
RichardErkhov/4yo1_-_llama3-pre1-pre2-inst3-lora3-mergkit-base-gguf,4yo1/llama3-pre1-pre2-inst3-lora3-mergkit-base/
RichardErkhov/4yo1_-_llama3-pre1-pre2-lora3-mergkit-base2-gguf,4yo1/llama3-pre1-pre2-lora3-mergkit-base2/
RichardErkhov/4yo1_-_llama3-pre1-pre2-lora3-mergkit-base22-gguf,4yo1/llama3-pre1-pre2-lora3-mergkit-base22/
RichardErkhov/4yo1_-_sapie-gguf,4yo1/sapie/
RichardErkhov/4yo1_-_sapie1-gguf,4yo1/sapie1/
RichardErkhov/5CD-AI_-_Viet-Sailor-4B-Instruct-gguf,5CD-AI/Viet-Sailor-4B-Instruct/
RichardErkhov/5cean_-_Bllossom-8b-SFT-gguf,5cean/Bllossom-8b-SFT/
RichardErkhov/618AI_-_dictalm2-it-qa-fine-tune-gguf,618AI/dictalm2-it-qa-fine-tune/
bartowski/QwQ-32B-Preview-IdeaWhiz-v1-GGUF,6cf/QwQ-32B-Preview-IdeaWhiz-v1
solidrust/Llama-3-monika-ddlc-8b-v1-AWQ,922-CA/Llama-3-monika-ddlc-8b-v1
solidrust/llama-2-7b-chat-tagalog-v0.3-AWQ,922-Narra/llama-2-7b-chat-tagalog-v0.3
solidrust/Llama-3-8b-tagalog-v1-AWQ,922-Narra/Llama-3-8b-tagalog-v1
solidrust/tagalog-seallm-7b-v1-AWQ,922-Narra/tagalog-seallm-7b-v1
solidrust/Moniphi-3-v1-AWQ,922CA/Moniphi-3-v1
solidrust/Silicon-Monika-7b-AWQ,922CA/Silicon-Monika-7b
solidrust/Silicon-Natsuki-7b-v0.5-AWQ,922CA/Silicon-Natsuki-7b-v0.5
RichardErkhov/Aabbhishekk_-_llama2-7b-function-calling-slerp-8bits,Aabbhishekk/llama2-7b-function-calling-slerp/
RichardErkhov/Aabbhishekk_-_llama2-7b-function-calling-slerp-4bits,Aabbhishekk/llama2-7b-function-calling-slerp/
RichardErkhov/Aabbhishekk_-_llama2-7b-function-calling-slerp-gguf,Aabbhishekk/llama2-7b-function-calling-slerp/
LiteLLMs/Llama3-OpenBioLLM-70B-GGUF,aaditya/Llama3-OpenBioLLM-70B
LiteLLMs/Llama3-OpenBioLLM-8B-GGUF,aaditya/Llama3-OpenBioLLM-8B
RichardErkhov/aaditya_-_Llama3-OpenBioLLM-8B-8bits,aaditya/Llama3-OpenBioLLM-8B/
RichardErkhov/aaditya_-_Llama3-OpenBioLLM-8B-4bits,aaditya/Llama3-OpenBioLLM-8B/
bartowski/OpenBioLLM-Llama3-8B-GGUF,aaditya/OpenBioLLM-Llama3-8B
bartowski/OpenBioLLM-Llama3-8B-AWQ,aaditya/OpenBioLLM-Llama3-8B
bartowski/OpenBioLLM-Llama3-8B-exl2,aaditya/OpenBioLLM-Llama3-8B
nitsuai/OpenBioLLM-Llama3-8B-GGUF,aaditya/OpenBioLLM-Llama3-8B
RichardErkhov/aakarsh-nair_-_experiment-distill-tree-babylm2024-360M-seq-0-awq,aakarsh-nair/experiment-distill-tree-babylm2024-360M-seq-0/
bartowski/gemma-2-27b-it-SimPO-37K-GGUF,AALF/gemma-2-27b-it-SimPO-37K
bartowski/gemma-2-27b-it-SimPO-37K-100steps-GGUF,AALF/gemma-2-27b-it-SimPO-37K-100steps
RichardErkhov/AALF_-_gemma-2-27b-it-SimPO-37K-100steps-gguf,AALF/gemma-2-27b-it-SimPO-37K-100steps/
RichardErkhov/AALF_-_gemma-2-27b-it-SimPO-37K-gguf,AALF/gemma-2-27b-it-SimPO-37K/
RichardErkhov/aarath97_-_gemma-2b-mt-Dogri-to-English-awq,aarath97/gemma-2b-mt-Dogri-to-English/
RichardErkhov/aari1995_-_germeo-7b-laser-gguf,aari1995/germeo-7b-laser/
RichardErkhov/aari1995_-_germeo-7b-laser-8bits,aari1995/germeo-7b-laser/
RichardErkhov/aari1995_-_germeo-7b-laser-4bits,aari1995/germeo-7b-laser/
RichardErkhov/Aarif1430_-_starcoder-1b-textbook-gguf,Aarif1430/starcoder-1b-textbook/
RichardErkhov/Aarushhh_-_untrained-Qwen-2.5-7b-Instruct-Pruned-gguf,Aarushhh/untrained-Qwen-2.5-7b-Instruct-Pruned/
RichardErkhov/Aarushhh_-_untrained-yuno-225M-awq,Aarushhh/untrained-yuno-225M/
RichardErkhov/Aarushhh_-_yuno-225M-python-it-awq,Aarushhh/yuno-225M-python-it/
RichardErkhov/Aarushhh_-_yuno-225M-python-awq,Aarushhh/yuno-225M-python/
RichardErkhov/ab-ai_-_PII-Model-Phi3-Mini-gguf,ab-ai/PII-Model-Phi3-Mini/
RichardErkhov/abacaj_-_llama-161M-100B-gguf,abacaj/llama-161M-100B/
MaziyarPanahi/phi-2-super-GGUF,abacaj/phi-2-super
RichardErkhov/abacaj_-_phi-2-super-gguf,abacaj/phi-2-super/
RichardErkhov/abacaj_-_phi-2-super-8bits,abacaj/phi-2-super/
RichardErkhov/abacaj_-_phi-2-super-4bits,abacaj/phi-2-super/
dagbs/bigstral-12b-32k-GGUF,abacusai/bigstral-12b-32k
solidrust/bigyi-15b-AWQ,abacusai/bigyi-15b
RichardErkhov/abacusai_-_bigyi-15b-gguf,abacusai/bigyi-15b/
RichardErkhov/abacusai_-_bigyi-15b-4bits,abacusai/bigyi-15b/
RichardErkhov/abacusai_-_Dracarys-72B-Instruct-gguf,abacusai/Dracarys-72B-Instruct/
bartowski/Dracarys-Llama-3.1-70B-Instruct-GGUF,abacusai/Dracarys-Llama-3.1-70B-Instruct
bartowski/Dracarys2-72B-Instruct-GGUF,abacusai/Dracarys2-72B-Instruct
RichardErkhov/abacusai_-_Dracarys2-72B-Instruct-gguf,abacusai/Dracarys2-72B-Instruct/
RichardErkhov/abacusai_-_Giraffe-13b-32k-v3-gguf,abacusai/Giraffe-13b-32k-v3/
claysauruswrecks/Giraffe-v2-13b-32k-GGUF,abacusai/Giraffe-v2-13b-32k
RichardErkhov/abacusai_-_Giraffe-v2-70b-32k-gguf,abacusai/Giraffe-v2-70b-32k/
bartowski/Liberated-Qwen1.5-7B-GGUF-old,abacusai/Liberated-Qwen1.5-7B
bartowski/Liberated-Qwen1.5-7B-exl2,abacusai/Liberated-Qwen1.5-7B
LiteLLMs/Llama-3-Giraffe-70B-GGUF,abacusai/Llama-3-Giraffe-70B
RichardErkhov/abacusai_-_Llama-3-Giraffe-70B-Instruct-gguf,abacusai/Llama-3-Giraffe-70B-Instruct/
AliceThirty/Llama-3-Smaug-8B-OAS,abacusai/Llama-3-Smaug-8B
solidrust/Llama-3-Smaug-8B-AWQ,abacusai/Llama-3-Smaug-8B
bartowski/Llama-3-Smaug-8B-GGUF,abacusai/Llama-3-Smaug-8B
MaziyarPanahi/Llama-3-Smaug-8B-GGUF,abacusai/Llama-3-Smaug-8B
LiteLLMs/Llama-3-Smaug-8B-GGUF,abacusai/Llama-3-Smaug-8B
RichardErkhov/abacusai_-_Llama-3-Smaug-8B-gguf,abacusai/Llama-3-Smaug-8B/
RichardErkhov/abacusai_-_Llama-3-Smaug-8B-4bits,abacusai/Llama-3-Smaug-8B/
RichardErkhov/abacusai_-_MetaMath-bagel-34b-v0.2-c1500-gguf,abacusai/MetaMath-bagel-34b-v0.2-c1500/
MaziyarPanahi/MetaMath-Bagel-DPO-34B-GGUF,abacusai/MetaMath-Bagel-DPO-34B
RichardErkhov/abacusai_-_MetaMath-Bagel-DPO-34B-gguf,abacusai/MetaMath-Bagel-DPO-34B/
RichardErkhov/abacusai_-_Slerp-CM-mist-dpo-gguf,abacusai/Slerp-CM-mist-dpo/
bartowski/Smaug-2-72B-exl2,abacusai/Smaug-2-72B
RichardErkhov/abacusai_-_Smaug-34B-v0.1-gguf,abacusai/Smaug-34B-v0.1/
LiteLLMs/Smaug-72B-v0.1-GGUF,abacusai/Smaug-72B-v0.1
RichardErkhov/abacusai_-_Smaug-72B-v0.1-gguf,abacusai/Smaug-72B-v0.1/
bartowski/Smaug-Llama-3-70B-Instruct-GGUF,abacusai/Smaug-Llama-3-70B-Instruct
bartowski/Smaug-Llama-3-70B-Instruct-32K-GGUF,abacusai/Smaug-Llama-3-70B-Instruct-32K
RichardErkhov/abacusai_-_Smaug-Llama-3-70B-Instruct-32K-gguf,abacusai/Smaug-Llama-3-70B-Instruct-32K/
bartowski/Smaug-Mixtral-v0.1-exl2,abacusai/Smaug-Mixtral-v0.1
RichardErkhov/abacusai_-_Smaug-Mixtral-v0.1-gguf,abacusai/Smaug-Mixtral-v0.1/
RichardErkhov/AbacusResearch_-_haLLawa4-7b-gguf,AbacusResearch/haLLawa4-7b/
RichardErkhov/AbacusResearch_-_Jallabi-34B-gguf,AbacusResearch/Jallabi-34B/
RichardErkhov/AbacusResearch_-_jaLLAbi2-7b-gguf,AbacusResearch/jaLLAbi2-7b/
RichardErkhov/AbacusResearch_-_RasGulla1-7b-gguf,AbacusResearch/RasGulla1-7b/
RichardErkhov/abadelt_-_llama-3-2-unsloth-16bit-awq,abadelt/llama-3-2-unsloth-16bit/
